item_id,sku,product_name,category,subcategory,location,location_type,region,quantity_on_hand,min_stock,max_stock,unit_cost,selling_price,total_value,last_movement_date,last_sale_date,age_days,demand_90_day,sell_through_rate,gross_margin_pct,status,recommended_action
INV-00001,T-1001,Mavis Sport Grip 245/40R18,Tires,Performance,DC-NJ,Distribution Center,Northeast,3,12,48,127.91,189.52,383.73,2026-06-06,2026-06-12,25,18,0.8571,0.3251,Stockout Risk,Replenish
INV-00002,T-1002,Mavis SnowTrack 205/55R16,Tires,Winter,DC-PA,Distribution Center,Northeast,22,8,40,100.7,138.79,2215.4,2025-05-17,2025-05-29,410,0,0.0,0.2744,Obsolete,Liquidate
INV-00003,T-1003,Mavis Fleet HD 225/75R16,Tires,Commercial,Store-Bronx,Retail Store,NYC Metro,85,10,35,148.75,234.78,12643.75,2025-10-29,2025-11-08,245,6,0.0659,0.3664,Excess / Aged,Transfer or Markdown
INV-00004,BP-1004,Ceramic Brake Pad Set - Front,Brake Parts,Pads,Store-Queens,Retail Store,NYC Metro,72,10,35,32.98,48.98,2374.56,2026-03-28,2026-04-08,95,14,0.1628,0.3267,Excess,Review Transfer
INV-00005,BP-1005,Vented Brake Rotor 11.8in,Brake Parts,Rotors,Store-Brooklyn,Retail Store,NYC Metro,28,10,40,48.27,78.58,1351.56,2025-12-03,2025-12-14,210,2,0.0667,0.3857,Slow-Moving,Markdown Review
INV-00006,BP-1006,Reman Brake Caliper - Rear,Brake Parts,Calipers,Store-Manhattan,Retail Store,NYC Metro,24,10,45,74.84,110.99,1796.16,2026-05-22,2026-05-31,40,22,0.4783,0.3257,Healthy,Monitor
INV-00007,F-1007,Cabin Air Filter CF-1180,Filters,Cabin,DC-PA,Distribution Center,Northeast,66,9,40,16.72,26.37,1103.52,2026-05-31,2026-06-12,31,30,0.3125,0.3659,Excess,Review Transfer
INV-00008,T-1008,Impact Wrench 1/2in 20V,Tools,Power Tools,Store-Bronx,Retail Store,NYC Metro,38,8,52,192.92,287.45,7330.96,2025-06-21,2025-07-02,375,23,0.377,0.3289,Healthy,Monitor
INV-00009,F-1009,Inline Fuel Filter FF-330,Filters,Fuel,DC-NY,Distribution Center,Northeast,51,15,34,12.46,18.04,635.46,2025-09-16,2025-09-27,288,32,0.3855,0.3093,Excess / Aged,Transfer or Markdown
INV-00010,A-1010,Beam Wiper Blade 22in,Accessories,Wipers,Store-Queens,Retail Store,NYC Metro,57,8,37,19.94,28.28,1136.58,2026-04-09,2026-04-10,83,16,0.2192,0.2949,Excess,Review Transfer
